Result_Date,People_Tested,People_Tested_Rate,Deaths,Death_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,All_Test_Results,All_Test_Results_Rate
10/02/2021,7401,327.36,1,0.04,391,17.29,360,15.92,31,1.37,7,0.31,7401,327.36
10/03/2021,1715,75.86,1,0.04,137,6.06,103,4.56,34,1.5,7,0.31,1715,75.86
10/04/2021,9379,414.85,0,0,645,28.53,608,26.89,37,1.64,12,0.53,9379,414.85
10/05/2021,7745,342.58,2,0.09,465,20.57,437,19.33,28,1.24,14,0.62,7745,342.58
10/06/2021,7848,347.13,2,0.09,521,23.04,495,21.89,26,1.15,16,0.71,7848,347.13
10/07/2021,9340,413.13,5,0.22,463,20.48,423,18.71,40,1.77,10,0.44,9340,413.13
10/08/2021,7223,319.49,4,0.18,415,18.36,383,16.94,32,1.42,17,0.75,7223,319.49
10/09/2021,6048,267.52,4,0.18,318,14.07,296,13.09,22,0.97,22,0.97,6048,267.52
10/10/2021,1601,70.82,4,0.18,106,4.69,87,3.85,19,0.84,10,0.44,1601,70.82
10/11/2021,8819,390.08,7,0.31,549,24.28,525,23.22,24,1.06,14,0.62,8819,390.08
10/12/2021,7270,321.57,5,0.22,434,19.2,408,18.05,26,1.15,11,0.49,7270,321.57
10/13/2021,8091,357.88,4,0.18,471,20.83,424,18.75,47,2.08,10,0.44,8091,357.88
10/14/2021,8830,390.57,5,0.22,425,18.8,391,17.29,34,1.5,15,0.66,8830,390.57
10/15/2021,6803,300.91,2,0.09,421,18.62,391,17.29,30,1.33,13,0.58,6803,300.91
10/16/2021,5403,238.99,5,0.22,334,14.77,309,13.67,25,1.11,15,0.66,5403,238.99
10/17/2021,2039,90.19,5,0.22,127,5.62,104,4.6,23,1.02,12,0.53,2039,90.19
10/18/2021,10599,468.82,4,0.18,627,27.73,590,26.1,37,1.64,15,0.66,10599,468.82
10/19/2021,6939,306.93,6,0.27,432,19.11,392,17.34,40,1.77,13,0.58,6939,306.93
10/20/2021,9334,412.86,6,0.27,446,19.73,418,18.49,28,1.24,12,0.53,9334,412.86
10/21/2021,9851,435.73,3,0.13,442,19.55,406,17.96,36,1.59,11,0.49,9851,435.73
10/22/2021,7005,309.85,4,0.18,459,20.3,425,18.8,34,1.5,14,0.62,7005,309.85
10/23/2021,6303,278.8,7,0.31,307,13.58,290,12.83,17,0.75,7,0.31,6303,278.8
10/24/2021,1737,76.83,7,0.31,110,4.87,94,4.16,16,0.71,11,0.49,1737,76.83
10/25/2021,7741,342.4,3,0.13,531,23.49,500,22.12,31,1.37,16,0.71,7741,342.4
10/26/2021,7665,339.04,2,0.09,445,19.68,417,18.44,28,1.24,15,0.66,7665,339.04
10/27/2021,7551,334,1,0.04,470,20.79,436,19.29,34,1.5,16,0.71,7551,334
10/28/2021,8004,354.03,7,0.31,427,18.89,392,17.34,35,1.55,13,0.58,8004,354.03
10/29/2021,7679,339.66,2,0.09,375,16.59,342,15.13,33,1.46,12,0.53,7679,339.66
10/30/2021,6270,277.34,2,0.09,290,12.83,274,12.12,16,0.71,13,0.58,6270,277.34
10/31/2021,1633,72.23,3,0.13,102,4.51,74,3.27,28,1.24,7,0.31,1633,72.23
11/01/2021,9616,425.34,5,0.22,474,20.97,441,19.51,33,1.46,15,0.66,9616,425.34
11/02/2021,7553,334.09,2,0.09,398,17.6,365,16.14,33,1.46,16,0.71,7553,334.09
11/03/2021,7602,336.25,3,0.13,388,17.16,368,16.28,20,0.88,12,0.53,7602,336.25
11/04/2021,8721,385.75,1,0.04,411,18.18,387,17.12,24,1.06,11,0.49,8721,385.75
11/05/2021,8604,380.57,2,0.09,350,15.48,327,14.46,23,1.02,14,0.62,8604,380.57
11/06/2021,6173,273.04,1,0.04,284,12.56,268,11.85,16,0.71,14,0.62,6173,273.04
11/07/2021,2044,90.41,3,0.13,101,4.47,86,3.8,15,0.66,10,0.44,2044,90.41
11/08/2021,8876,392.6,2,0.09,411,18.18,381,16.85,30,1.33,20,0.88,8876,392.6
11/09/2021,7001,309.67,4,0.18,301,13.31,278,12.3,23,1.02,12,0.53,7001,309.67
11/10/2021,7672,339.35,4,0.18,329,14.55,304,13.45,25,1.11,16,0.71,7672,339.35
11/11/2021,5321,235.36,2,0.09,265,11.72,247,10.93,18,0.8,11,0.49,5321,235.36
11/12/2021,6925,306.31,2,0.09,362,16.01,335,14.82,27,1.19,24,1.06,6925,306.31
11/13/2021,6607,292.24,0,0,265,11.72,247,10.93,18,0.8,7,0.31,6607,292.24
11/14/2021,2196,97.13,2,0.09,86,3.8,68,3.01,18,0.8,14,0.62,2196,97.13
11/15/2021,9863,436.26,5,0.22,431,19.06,407,18,24,1.06,8,0.35,9863,436.26
11/16/2021,7384,326.61,3,0.13,368,16.28,354,15.66,14,0.62,13,0.58,7384,326.61
11/17/2021,6371,281.8,3,0.13,282,12.47,271,11.99,11,0.49,8,0.35,6371,281.8
11/18/2021,7299,322.85,3,0.13,269,11.9,256,11.32,13,0.58,10,0.44,7299,322.85
11/19/2021,6776,299.72,0,0,261,11.54,247,10.93,14,0.62,12,0.53,6776,299.72
11/20/2021,6972,308.39,3,0.13,202,8.93,191,8.45,11,0.49,4,0.18,6972,308.39
11/21/2021,2393,105.85,3,0.13,68,3.01,54,2.39,14,0.62,5,0.22,2393,105.85
11/22/2021,13268,586.87,5,0.22,313,13.84,300,13.27,13,0.58,10,0.44,13268,586.87
11/23/2021,6474,286.36,0,0,271,11.99,255,11.28,16,0.71,6,0.27,6474,286.36
11/24/2021,5575,246.59,3,0.13,282,12.47,259,11.46,23,1.02,11,0.49,5575,246.59
11/25/2021,774,34.24,1,0.04,52,2.3,46,2.03,6,0.27,5,0.22,774,34.24
11/26/2021,8095,358.06,6,0.27,270,11.94,255,11.28,15,0.66,8,0.35,8095,358.06
11/27/2021,7859,347.62,4,0.18,261,11.54,249,11.01,12,0.53,9,0.4,7859,347.62
11/28/2021,2736,121.02,4,0.18,118,5.22,100,4.42,18,0.8,8,0.35,2736,121.02
11/29/2021,8469,374.6,1,0.04,468,20.7,443,19.59,25,1.11,9,0.4,8469,374.6
11/30/2021,5241,231.82,2,0.09,370,16.37,347,15.35,23,1.02,9,0.4,5241,231.82
12/01/2021,6725,297.46,2,0.09,344,15.22,320,14.15,24,1.06,8,0.35,6725,297.46
12/02/2021,7865,347.89,4,0.18,362,16.01,334,14.77,28,1.24,8,0.35,7865,347.89
12/03/2021,6891,304.8,1,0.04,300,13.27,280,12.38,20,0.88,7,0.31,6891,304.8
12/04/2021,7941,351.25,1,0.04,191,8.45,175,7.74,16,0.71,5,0.22,7941,351.25
12/05/2021,2921,129.2,1,0.04,97,4.29,86,3.8,11,0.49,9,0.4,2921,129.2
12/06/2021,6980,308.74,3,0.13,384,16.99,368,16.28,16,0.71,10,0.44,6980,308.74
12/07/2021,7016,310.33,3,0.13,291,12.87,268,11.85,23,1.02,11,0.49,7016,310.33
12/08/2021,7949,351.6,0,0,347,15.35,330,14.6,17,0.75,9,0.4,7949,351.6
12/09/2021,8838,390.92,1,0.04,295,13.05,280,12.38,15,0.66,6,0.27,8838,390.92
12/10/2021,8710,385.26,1,0.04,347,15.35,332,14.69,15,0.66,7,0.31,8710,385.26
12/11/2021,6845,302.77,0,0,287,12.69,282,12.47,5,0.22,5,0.22,6845,302.77
12/12/2021,2741,121.24,1,0.04,134,5.93,127,5.62,7,0.31,7,0.31,2741,121.24
12/13/2021,8643,382.3,3,0.13,619,27.38,599,26.5,20,0.88,8,0.35,8643,382.3
12/14/2021,8183,361.95,3,0.13,699,30.92,668,29.55,31,1.37,12,0.53,8183,361.95
12/15/2021,7458,329.88,0,0,901,39.85,848,37.51,53,2.34,11,0.49,7458,329.88
12/16/2021,11702,517.6,1,0.04,911,40.3,852,37.69,59,2.61,10,0.44,11702,517.6
12/17/2021,10777,476.69,0,0,1071,47.37,1014,44.85,57,2.52,8,0.35,10777,476.69
12/18/2021,12719,562.59,0,0,973,43.04,929,41.09,44,1.95,13,0.58,12719,562.59
12/19/2021,3840,169.85,1,0.04,534,23.62,472,20.88,62,2.74,14,0.62,3840,169.85
12/20/2021,10376,458.95,3,0.13,2295,101.51,2232,98.73,63,2.79,11,0.49,10376,458.95
12/21/2021,9876,436.84,4,0.18,2594,114.74,2512,111.11,82,3.63,21,0.93,9876,436.84
12/22/2021,12644,559.27,3,0.13,2921,129.2,2786,123.23,135,5.97,22,0.97,12644,559.27
12/23/2021,16684,737.97,3,0.13,3111,137.61,2978,131.72,133,5.88,18,0.8,16684,737.97
12/24/2021,11478,507.7,0,0,2376,105.1,2334,103.24,42,1.86,23,1.02,11478,507.7
12/25/2021,1263,55.87,4,0.18,379,16.76,356,15.75,23,1.02,18,0.8,1263,55.87
12/26/2021,2641,116.82,2,0.09,581,25.7,542,23.97,39,1.73,19,0.84,2641,116.82
12/27/2021,7422,328.29,3,0.13,2159,95.5,2022,89.44,137,6.06,24,1.06,7422,328.29
12/28/2021,8452,373.85,0,0,3922,173.48,3555,157.25,367,16.23,26,1.15,8452,373.85
12/29/2021,12067,533.75,4,0.18,5614,248.32,5165,228.46,449,19.86,32,1.42,12067,533.75
12/30/2021,8553,378.32,5,0.22,3556,157.29,3315,146.63,241,10.66,36,1.59,8553,378.32
12/31/2021,8175,361.6,4,0.18,3592,158.88,3402,150.48,190,8.4,34,1.5,8175,361.6
01/01/2022,2337,103.37,5,0.22,1298,57.41,1130,49.98,168,7.43,40,1.77,2337,103.37
01/02/2022,3755,166.09,4,0.18,1873,82.85,1687,74.62,186,8.23,38,1.68,3755,166.09
01/03/2022,11796,521.76,6,0.27,7649,338.33,7082,313.25,567,25.08,54,2.39,11796,521.76
01/04/2022,12399,548.43,1,0.04,9023,399.11,8326,368.28,697,30.83,60,2.65,12399,548.43
01/05/2022,11572,511.85,6,0.27,8395,371.33,7744,342.53,651,28.8,58,2.57,11572,511.85
01/06/2022,12433,549.94,9,0.4,7969,352.49,7301,322.94,668,29.55,64,2.83,12433,549.94
01/07/2022,10385,459.35,11,0.49,7274,321.74,6726,297.51,548,24.24,64,2.83,10385,459.35
01/08/2022,6450,285.3,9,0.4,4885,216.07,4643,205.37,242,10.7,46,2.03,6450,285.3
01/09/2022,2274,100.58,9,0.4,2225,98.42,2032,89.88,193,8.54,59,2.61,2274,100.58
01/10/2022,9548,422.33,8,0.35,7893,349.12,7319,323.73,574,25.39,65,2.88,9548,422.33
01/11/2022,11278,498.85,9,0.4,6953,307.55,6399,283.04,554,24.5,66,2.92,11278,498.85
01/12/2022,10810,478.15,15,0.66,6483,286.76,5986,264.77,497,21.98,61,2.7,10810,478.15
01/13/2022,10374,458.86,7,0.31,6281,277.82,5795,256.33,486,21.5,52,2.3,10374,458.86
01/14/2022,9203,407.07,8,0.35,5805,256.77,5278,233.46,527,23.31,54,2.39,9203,407.07
01/15/2022,5762,254.87,11,0.49,3801,168.13,3584,158.53,217,9.6,39,1.73,5762,254.87
01/16/2022,1425,63.03,7,0.31,1223,54.1,1065,47.11,158,6.99,58,2.57,1425,63.03
01/17/2022,6992,309.27,6,0.27,4698,207.8,4435,196.17,263,11.63,58,2.57,6992,309.27
01/18/2022,9862,436.22,9,0.4,5806,256.81,5323,235.45,483,21.36,56,2.48,9862,436.22
01/19/2022,8965,396.54,4,0.18,4748,210.01,4334,191.7,414,18.31,48,2.12,8965,396.54
01/20/2022,12348,546.18,6,0.27,4849,214.48,4390,194.18,459,20.3,58,2.57,12348,546.18
01/21/2022,12278,543.08,4,0.18,3896,172.33,3611,159.72,285,12.61,49,2.17,12278,543.08
01/22/2022,9709,429.45,12,0.53,2657,117.52,2499,110.54,158,6.99,32,1.42,9709,429.45
01/23/2022,2575,113.9,13,0.58,1065,47.11,897,39.68,168,7.43,29,1.28,2575,113.9
01/24/2022,6267,277.2,8,0.35,3772,166.84,3489,154.33,283,12.52,41,1.81,6267,277.2
01/25/2022,9189,406.45,9,0.4,3179,140.61,2935,129.82,244,10.79,43,1.9,9189,406.45
01/26/2022,14115,624.34,7,0.31,2731,120.8,2552,112.88,179,7.92,35,1.55,14115,624.34
01/27/2022,13515,597.8,10,0.44,2422,107.13,2212,97.84,210,9.29,37,1.64,13515,597.8
01/28/2022,11522,509.64,9,0.4,2012,89,1863,82.4,149,6.59,47,2.08,11522,509.64
01/29/2022,7547,333.82,9,0.4,1325,58.61,1247,55.16,78,3.45,36,1.59,7547,333.82
01/30/2022,3372,149.15,9,0.4,598,26.45,515,22.78,83,3.67,24,1.06,3372,149.15
01/31/2022,14587,645.21,6,0.27,2447,108.24,2251,99.57,196,8.67,37,1.64,14587,645.21
02/01/2022,11815,522.6,10,0.44,1784,78.91,1619,71.61,165,7.3,24,1.06,11815,522.6
02/02/2022,11430,505.57,10,0.44,1436,63.52,1340,59.27,96,4.25,26,1.15,11430,505.57
02/03/2022,10432,461.43,10,0.44,1350,59.71,1240,54.85,110,4.87,20,0.88,10432,461.43
02/04/2022,9101,402.56,5,0.22,1227,54.27,1132,50.07,95,4.2,27,1.19,9101,402.56
02/05/2022,6309,279.06,13,0.58,934,41.31,882,39.01,52,2.3,15,0.66,6309,279.06
02/06/2022,2977,131.68,10,0.44,412,18.22,357,15.79,55,2.43,16,0.71,2977,131.68
02/07/2022,11858,524.5,6,0.27,1466,64.84,1359,60.11,107,4.73,33,1.46,11858,524.5
02/08/2022,9273,410.16,12,0.53,981,43.39,886,39.19,95,4.2,12,0.53,9273,410.16
02/09/2022,9749,431.22,6,0.27,930,41.14,861,38.08,69,3.05,10,0.44,9749,431.22
02/10/2022,8690,384.38,5,0.22,818,36.18,749,33.13,69,3.05,13,0.58,8690,384.38
02/11/2022,7141,315.86,6,0.27,677,29.95,618,27.34,59,2.61,14,0.62,7141,315.86
02/12/2022,5222,230.98,4,0.18,529,23.4,507,22.43,22,0.97,13,0.58,5222,230.98
02/13/2022,2617,115.76,7,0.31,212,9.38,182,8.05,30,1.33,7,0.31,2617,115.76
02/14/2022,9316,412.07,7,0.31,770,34.06,720,31.85,50,2.21,19,0.84,9316,412.07
02/15/2022,8884,392.96,6,0.27,597,26.41,557,24.64,40,1.77,12,0.53,8884,392.96
02/16/2022,8992,397.74,4,0.18,525,23.22,478,21.14,47,2.08,8,0.35,8992,397.74
02/17/2022,6419,283.93,8,0.35,517,22.87,480,21.23,37,1.64,12,0.53,6419,283.93
02/18/2022,4703,208.02,12,0.53,398,17.6,383,16.94,15,0.66,13,0.58,4703,208.02
02/19/2022,2704,119.6,6,0.27,317,14.02,306,13.54,11,0.49,6,0.27,2704,119.6
02/20/2022,1657,73.29,2,0.09,164,7.25,144,6.37,20,0.88,11,0.49,1657,73.29
02/21/2022,3355,148.4,3,0.13,371,16.41,333,14.73,38,1.68,11,0.49,3355,148.4
02/22/2022,7788,344.48,5,0.22,363,16.06,337,14.91,26,1.15,10,0.44,7788,344.48
02/23/2022,7115,314.71,6,0.27,345,15.26,333,14.73,12,0.53,12,0.53,7115,314.71
02/24/2022,6324,279.72,5,0.22,306,13.54,285,12.61,21,0.93,7,0.31,6324,279.72
02/25/2022,5785,255.88,3,0.13,319,14.11,309,13.67,10,0.44,11,0.49,5785,255.88
02/26/2022,4217,186.53,7,0.31,242,10.7,234,10.35,8,0.35,10,0.44,4217,186.53
02/27/2022,2249,99.48,6,0.27,113,5,102,4.51,11,0.49,7,0.31,2249,99.48
02/28/2022,7773,343.82,2,0.09,377,16.68,353,15.61,24,1.06,7,0.31,7773,343.82
03/01/2022,6869,303.83,6,0.27,326,14.42,305,13.49,21,0.93,8,0.35,6869,303.83
03/02/2022,6318,279.46,5,0.22,301,13.31,290,12.83,11,0.49,3,0.13,6318,279.46
03/03/2022,6116,270.52,1,0.04,246,10.88,230,10.17,16,0.71,4,0.18,6116,270.52
03/04/2022,5123,226.6,3,0.13,224,9.91,216,9.55,8,0.35,6,0.27,5123,226.6
03/05/2022,3466,153.31,4,0.18,179,7.92,170,7.52,9,0.4,8,0.35,3466,153.31
03/06/2022,1952,86.34,3,0.13,74,3.27,71,3.14,3,0.13,4,0.18,1952,86.34
03/07/2022,6427,284.28,3,0.13,250,11.06,243,10.75,7,0.31,3,0.13,6427,284.28
03/08/2022,6171,272.96,6,0.27,206,9.11,193,8.54,13,0.58,3,0.13,6171,272.96
03/09/2022,6001,265.44,4,0.18,251,11.1,240,10.62,11,0.49,7,0.31,6001,265.44
03/10/2022,5564,246.11,1,0.04,170,7.52,162,7.17,8,0.35,4,0.18,5564,246.11
03/11/2022,4538,200.73,6,0.27,146,6.46,143,6.33,3,0.13,4,0.18,4538,200.73
03/12/2022,3347,148.04,3,0.13,121,5.35,116,5.13,5,0.22,2,0.09,3347,148.04
03/13/2022,1893,83.73,1,0.04,66,2.92,57,2.52,9,0.4,8,0.35,1893,83.73
03/14/2022,6147,271.89,4,0.18,239,10.57,229,10.13,10,0.44,1,0.04,6147,271.89
03/15/2022,6458,285.65,4,0.18,207,9.16,198,8.76,9,0.4,3,0.13,6458,285.65
03/16/2022,6034,266.9,3,0.13,202,8.93,190,8.4,12,0.53,1,0.04,6034,266.9
03/17/2022,5696,251.95,3,0.13,209,9.24,196,8.67,13,0.58,5,0.22,5696,251.95
03/18/2022,4858,214.88,2,0.09,184,8.14,170,7.52,14,0.62,6,0.27,4858,214.88
03/19/2022,3558,157.38,3,0.13,125,5.53,122,5.4,3,0.13,5,0.22,3558,157.38
03/20/2022,2061,91.16,4,0.18,86,3.8,79,3.49,7,0.31,5,0.22,2061,91.16
03/21/2022,6562,290.25,2,0.09,291,12.87,270,11.94,21,0.93,3,0.13,6562,290.25
03/22/2022,6007,265.7,2,0.09,280,12.38,261,11.54,19,0.84,6,0.27,6007,265.7
03/23/2022,5903,261.1,2,0.09,318,14.07,301,13.31,17,0.75,4,0.18,5903,261.1
03/24/2022,5652,250,3,0.13,263,11.63,249,11.01,14,0.62,2,0.09,5652,250
03/25/2022,4743,209.79,1,0.04,289,12.78,269,11.9,20,0.88,1,0.04,4743,209.79
03/26/2022,3490,154.37,1,0.04,241,10.66,233,10.31,8,0.35,1,0.04,3490,154.37
03/27/2022,2139,94.61,1,0.04,147,6.5,136,6.02,11,0.49,6,0.27,2139,94.61
03/28/2022,6772,299.54,0,0,441,19.51,424,18.75,17,0.75,4,0.18,6772,299.54
03/29/2022,5905,261.19,0,0,374,16.54,361,15.97,13,0.58,4,0.18,5905,261.19
03/30/2022,5565,246.15,0,0,444,19.64,414,18.31,30,1.33,3,0.13,5565,246.15
03/31/2022,5771,255.26,2,0.09,423,18.71,400,17.69,23,1.02,5,0.22,5771,255.26
04/01/2022,4699,207.85,0,0,384,16.99,364,16.1,20,0.88,8,0.35,4699,207.85
04/02/2022,3258,144.11,0,0,304,13.45,295,13.05,9,0.4,8,0.35,3258,144.11
04/03/2022,1898,83.95,0,0,175,7.74,161,7.12,14,0.62,4,0.18,1898,83.95
04/04/2022,6768,299.36,3,0.13,592,26.19,573,25.35,19,0.84,5,0.22,6768,299.36
04/05/2022,6094,269.55,1,0.04,561,24.81,531,23.49,30,1.33,6,0.27,6094,269.55
04/06/2022,5869,259.6,1,0.04,645,28.53,620,27.42,25,1.11,5,0.22,5869,259.6
04/07/2022,5407,239.16,0,0,521,23.04,498,22.03,23,1.02,8,0.35,5407,239.16
04/08/2022,4833,213.77,0,0,431,19.06,413,18.27,18,0.8,3,0.13,4833,213.77
04/09/2022,3133,138.58,0,0,281,12.43,269,11.9,12,0.53,0,0,3133,138.58
04/10/2022,891,39.41,0,0,60,2.65,57,2.52,3,0.13,0,0,891,39.41